StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q4_1_1,Q4_1_2,Q4_1_3,Q4_1_4,Q4_1_5,Q4_2_1,Q4_2_2,Q4_2_3,Q4_2_4,Q4_2_5,Q4_3_1,Q4_3_2,Q4_3_3,Q4_3_4,Q4_3_5,Q4_4_1,Q4_4_2,Q4_4_3,Q4_4_4,Q4_4_5,Q4_5_1,Q4_5_2,Q4_5_3,Q4_5_4,Q4_5_5,Q4_6_1,Q4_6_2,Q4_6_3,Q4_6_4,Q4_6_5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11
2022-04-21 00:48:53,2022-04-21 00:53:54,0,190.106.10.114,100,300,1,2022-04-21 00:53:54,R_3QXhL588NCTvcLt,,,,,12.1518,-86.2711,qr,ES,,,1,,,,,1,,,,,1,,,,,,,,,1,,,,,1,,,,,1,,,,,,1,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,1,1,,,,3,
2022-04-21 00:49:54,2022-04-21 00:55:14,0,152.231.33.3,100,320,1,2022-04-21 00:55:15,R_BVZXHK5hgC4M8Vj,,,,,12.1518,-86.2711,qr,ES,1,,1,1,,,1,1,,,,,1,1,,,1,,1,1,,,,,,1,,,,,1,,,,1,,,1,,,,,,,,1,,,,,1,,1,,,1,1,1,1,,,,1,,,1,1,1,1,,,1,,,1,,5,
2022-04-21 00:49:37,2022-04-21 00:56:17,0,190.106.10.114,100,400,1,2022-04-21 00:56:18,R_es1q8XhmGieqCvn,,,,,12.1518,-86.2711,qr,ES,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,1,,,,,1,,,1,,,1,,,,,,,,,1,,,,,1,,1,,,1,1,1,1,,,,1,,,1,1,1,1,,,1,,,1,,6,
2022-04-21 00:54:03,2022-04-21 00:57:57,0,152.231.32.196,100,234,1,2022-04-21 00:57:58,R_1IouhcL8qM3cDcK,,,,,12.1518,-86.2711,anonymous,ES,1,,1,1,,,1,1,1,1,,,,,,,,,,,1,,1,,,,,,,1,,,1,,,,,1,,,,,,,1,,,1,,,,,,,,1,1,1,1,,,,,,,1,1,1,1,,,1,,,1,,2,
2022-04-21 00:52:51,2022-04-21 00:58:17,0,186.77.136.194,100,326,1,2022-04-21 00:58:18,R_2zZsAakjdadA9Pi,,,,,12.1518,-86.2711,qr,ES,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,,1,,,,,,1,,,,1,,,1,,,,,,,,1,,,,,1,,1,,,1,1,1,1,,,,1,,,1,1,1,1,,,1,,,1,,3,
2022-04-21 00:55:14,2022-04-21 00:59:31,0,190.106.10.114,100,257,1,2022-04-21 00:59:31,R_3MFL4yRhlK3N5bn,,,,,12.1518,-86.2711,qr,ES,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,,,1,,1,,,,1,,,,,,1,,,,,,1,,,,,,,1,,,,,1,,,,,1,1,1,,,,,,,,1,1,1,1,,,1,1,,1,,4,
2022-04-21 00:52:25,2022-04-21 01:02:17,0,190.106.10.114,100,592,1,2022-04-21 01:02:18,R_1GHaSgCPiBP2we9,,,,,12.1518,-86.2711,anonymous,ES,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,1,,,1,,,1,,,,,,,,1,,1,,,,,,,,,1,,,,,1,,1,,,1,1,1,1,,,,1,,,1,1,1,1,,,1,,,,,2,"Tania karina Rodríguez "
2022-04-21 00:55:24,2022-04-21 01:03:43,0,190.106.10.114,100,498,1,2022-04-21 01:03:44,R_2UaepKHCJ7c7a4i,,,,,12.1518,-86.2711,anonymous,ES,1,,1,1,1,1,,1,,1,,,1,1,1,,,1,1,,,,,,,1,,,,1,,,,,1,,,,1,,,,,,1,,,,,,1,1,,,,1,,1,,,,,,,,,,,,,,1,,,1,,2,
2022-04-21 00:59:48,2022-04-21 01:08:20,0,152.231.32.196,100,511,1,2022-04-21 01:08:21,R_W9xisLdgHStimg9,,,,,12.1518,-86.2711,anonymous,ES,1,,1,1,,,,1,1,1,,,1,1,1,,,,,,,1,,,,,,,,,1,,,,1,,,1,,,,,,,,1,,,,1,,,1,,,1,,1,,,,,1,,,1,,1,,,,1,,,1,,2,
2022-04-21 00:43:48,2022-04-21 00:56:53,0,190.106.10.114,90,785,0,2022-04-28 00:57:00,R_2VyAWrHbrD5O2UV,,,,,,,qr,ES,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,1,1,,,,,,,1,,,,,1,,,,,1,1,,,,,,,,,1,,,,,1,1,1,,,1,1,1,1,,,1,1,,,1,1,1,1,,,1,,,1,,6,
2022-04-21 00:43:40,2022-04-21 00:48:03,0,186.77.138.228,90,262,0,2022-04-28 02:36:14,R_1CHLjbCnrROXXec,,,,,,,qr,ES,,,1,1,1,1,1,1,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,5,
2022-04-22 03:45:55,2022-04-22 20:51:44,0,190.212.57.126,60,61548,0,2022-04-29 20:51:54,R_2BwVSQJGrXFb2f2,,,,,,,qr,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 20:29:27,2022-05-28 20:32:06,0,152.231.35.147,100,159,1,2022-05-28 20:32:06,R_WkTO4bxwfysUteF,,,,,12.1518,-86.2711,qr,ES,,,,,,1,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,2,,,1,,2,
2022-05-28 20:20:57,2022-05-28 20:32:09,0,152.231.35.87,100,672,1,2022-05-28 20:32:09,R_xGkVcxYsfetEqPL,,,,,12.1518,-86.2711,anonymous,ES,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,6,
2022-05-28 20:34:28,2022-05-28 20:35:07,0,190.106.10.114,100,39,1,2022-05-28 20:35:08,R_1osTWrDnS0TZ953,,,,,12.1518,-86.2711,qr,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel kim
2022-05-28 20:30:09,2022-05-28 20:35:26,0,152.231.35.24,100,317,1,2022-05-28 20:35:27,R_2QMMBVxPIWvGWK9,,,,,12.1518,-86.2711,qr,ES,1,,1,1,,1,,1,,1,,,,1,1,1,,,1,1,,,,,1,,,,,,1,1,,,,,1,,,,,,,,,1,,,,,1,,1,,,1,1,1,1,,,,1,,,1,1,1,1,,,1,,,1,,4,
2022-05-28 20:28:55,2022-05-28 20:36:20,0,190.106.10.114,100,445,1,2022-05-28 20:36:21,R_1n1RZwiB7T5ZbbC,,,,,12.1518,-86.2711,qr,ES,1,1,1,1,1,1,1,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,2,
2022-05-28 20:32:51,2022-05-28 20:37:28,0,186.77.136.120,100,276,1,2022-05-28 20:37:28,R_1PU9aZbzWIKUBDl,,,,,12.1518,-86.2711,qr,ES,,,,1,,,,1,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,1,,1,,,,1,,,1,,5,
2022-05-28 20:32:51,2022-05-28 20:37:28,0,152.231.35.87,100,277,1,2022-05-28 20:37:28,R_1nMYzEFqze8K8Y3,,,,,12.1518,-86.2711,anonymous,ES,1,,1,1,1,1,,1,1,1,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,1,,1,,,,2,,,1,,6,
2022-05-28 20:31:24,2022-05-28 20:38:15,0,190.106.10.114,100,411,1,2022-05-28 20:38:16,R_3Kp7BwBXuRJfQmW,,,,,12.1518,-86.2711,qr,ES,1,,1,,,1,,1,,,,,,,,,,,,,1,,1,,,,,,,,1,,1,,,,,1,,,,,,,,1,,,,,1,,,,,1,1,,1,,,,,,,1,1,,,,,2,,,1,,3,
2022-05-28 20:33:54,2022-05-28 20:38:22,0,186.77.132.139,100,268,1,2022-05-28 20:38:23,R_qwJLHlmZa5UMF21,,,,,12.1518,-86.2711,qr,ES,,1,1,,,,,1,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,2,1,,,,6,
2022-05-28 20:32:56,2022-05-28 20:38:32,0,186.77.132.241,100,336,1,2022-05-28 20:38:32,R_2Vn1kV3j6zFUiGO,,,,,12.1518,-86.2711,qr,ES,,,1,1,1,1,,,1,1,,,1,1,1,1,1,1,1,1,1,,,,,,,,,1,,1,,,,,1,,,,,,,,,1,,,,,1,1,1,,,1,1,1,1,,,1,1,,,1,1,1,,,,2,,,,,6,
2022-05-28 20:36:41,2022-05-28 20:38:55,0,190.106.10.114,100,133,1,2022-05-28 20:38:55,R_3POheA7FqkJNLOI,,,,,12.1518,-86.2711,qr,ES,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,3,
2022-05-28 20:32:24,2022-05-28 20:39:00,0,186.77.136.99,100,395,1,2022-05-28 20:39:01,R_2rAgOfwvFzXoFxb,,,,,12.1518,-86.2711,qr,ES,1,,1,1,1,1,1,,1,1,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,1,1,,,,,,,,1,1,1,,,,2,1,,,,3,
2022-05-28 20:32:37,2022-05-28 20:39:14,0,186.77.132.129,100,396,1,2022-05-28 20:39:14,R_1C2UBn1z4PFM2OK,,,,,12.1518,-86.2711,qr,ES,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,,,,,1,,,,,,,,,1,,,,,1,,,,,1,1,1,1,,,,,,,1,1,1,1,,,2,,,1,,3,
2022-05-28 20:35:24,2022-05-28 20:42:45,0,190.106.10.114,100,441,1,2022-05-28 20:42:46,R_2AGWzGfa2MHy19v,,,,,12.1518,-86.2711,qr,ES,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,,,,,,,,1,,,,,1,,,1,,,,,1,,,,,,,1,,,,,1,,1,,,,1,1,,,,,1,1,,,1,1,1,1,,,2,,,1,,6,
2022-05-28 20:33:40,2022-05-28 20:38:36,0,152.231.33.10,90,295,0,2022-06-04 20:38:41,R_1IGYJlSaI2kX2sC,,,,,,,qr,ES,1,1,,,,,,1,,,,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,2,,,1,,6,
